SR. NO.,RESERVOIR NAME,FRL (M),CURRENT RESERVOIR LEVEL (M),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,STORAGE AS % OF LIVE CAPACITY AT FRL - CURRENT YEAR,STORAGE AS % OF LIVE CAPACITY AT FRL - LAST YEAR,STORAGE AS % OF LIVE CAPACITY AT FRL - NORMAL STORAGE,BENEFITS - IRR-CCA,BENEFITS - HYDEL IN MW,SOURCE_PDF,pct_filled,,
1,GOBIND SAGAR,512,495.489,6.229,3.271,19/02/2026,52.51,30.68,39.3,676,1379,bulletin-19-02-2026-82.pdf,52.5124418,,
1,THEIN DAM,527.91,517.17,2.344,1.538,19/02/2026,65.61,11.9,34.36,348,600,bulletin-19-02-2026-82.pdf,65.61433447,,
2,PONG DAM,423.67,410.22,6.157,2.94,19/02/2026,47.76,15.92,36.69,0,396,bulletin-19-02-2026-82.pdf,47.75052785,,
1,GOBIND SAGAR,512,496.836,6.229,3.443,12/02/2026,55.27,33.6,44.38,676,1379,bulletin-12-02-2026-82.pdf,55.2737197,,
1,THEIN DAM,527.91,517.693,2.344,1.568,12/02/2026,66.89,14.33,34.23,348,600,bulletin-12-02-2026-82.pdf,66.89419795,,
2,PONG DAM,423.67,410.69,6.157,3.025,12/02/2026,49.13,17.28,35.52,0,396,bulletin-12-02-2026-82.pdf,49.13107033,,
1,GOBIND SAGAR,512,498.043,6.229,3.597,05/02/2026,57.75,36,48.07,676,1379,bulletin-05-02-2026-77.pdf,57.74602665,,
1,THEIN DAM,527.91,517.868,2.344,1.568,05/02/2026,66.89,15.96,34.14,348,600,bulletin-05-02-2026-77.pdf,66.89419795,,
2,PONG DAM,423.67,411.22,6.157,3.118,05/02/2026,50.65,18.66,37.1,0,396,bulletin-05-02-2026-77.pdf,50.64154621,,
1,GOBIND SAGAR,512,498.933,6.229,3.711,29/01/2026,59.57,37.78,51.17,676,1379,bulletin-29-01-2026-77.pdf,59.57617595,,
1,THEIN DAM,527.91,517.72,2.344,1.568,29/01/2026,66.89,17.58,33.77,348,600,bulletin-29-01-2026-77.pdf,66.89419795,,
2,PONG DAM,423.67,411.72,6.157,3.208,29/01/2026,52.11,20.56,42.1,0,396,bulletin-29-01-2026-77.pdf,52.10329706,,
1,GOBIND SAGAR,512,499.561,6.229,3.791,22/01/2026,60.86,39.37,51.86,676,1379,bulletin-22-01-2026-76.pdf,60.86049125,,
1,THEIN DAM,527.91,517.475,2.344,1.568,22/01/2026,66.89,20.01,34.09,348,600,bulletin-22-01-2026-76.pdf,66.89419795,,
2,PONG DAM,423.67,412.09,6.157,3.28,22/01/2026,53.28,22.28,41.96,0,396,bulletin-22-01-2026-76.pdf,53.27269774,,
1,GOBIND SAGAR,512,502.58,6.229,4.219,01/01/2026,67.73,43.37,59.36,676,1379,bulletin-01-01-2026-73.pdf,67.7315781,,
1,THEIN DAM,527.91,519.849,2.344,1.69,01/01/2026,72.1,21.63,36.39,348,600,bulletin-01-01-2026-73.pdf,72.09897611,,
2,PONG DAM,423.67,415.13,6.157,3.87,01/01/2026,62.86,29.62,44.39,0,396,bulletin-01-01-2026-73.pdf,62.85528667,,
1,GOBIND SAGAR,512,503.51,6.229,4.352,26/12/2025,69.87,44.68,61.73,676,1379,bulletin-26-12-2025-71.pdf,69.86675229,,
1,THEIN DAM,527.91,520.665,2.344,1.76,26/12/2025,75.09,22.44,42.13,348,600,bulletin-26-12-2025-71.pdf,75.08532423,,
2,PONG DAM,423.67,415.98,6.157,4.047,26/12/2025,65.72,32.32,54.62,0,396,bulletin-26-12-2025-71.pdf,65.73006334,,
1,GOBIND SAGAR,512,509.97,6.229,5.327,02/10/2025,85.52,66.42,80.76,676,1379,bulletin-02-10-2025-58.pdf,85.519345,,
1,THEIN DAM,527.91,523.72,2.344,1.959,02/10/2025,83.58,24.19,65.74,348,600,bulletin-02-10-2025-58.pdf,83.57508532,,
2,PONG DAM,423.67,423.32,6.157,5.687,02/10/2025,92.37,63.86,80.56,0,396,bulletin-02-10-2025-58.pdf,92.36641221,,
1,GOBIND SAGAR,512,510.57,6.229,5.421,25/09/2025,87.03,67.19,82.06,676,1379,bulletin-25-09-2025-57.pdf,87.02841548,,
1,THEIN DAM,527.91,524.49,2.344,2.078,25/09/2025,88.65,24.19,65.17,348,600,bulletin-25-09-2025-57.pdf,88.65187713,,
2,PONG DAM,423.67,423.9,6.157,5.828,25/09/2025,94.66,64.66,82.22,0,396,bulletin-25-09-2025-57.pdf,94.65648855,,
1,GOBIND SAGAR,512,511.1,6.229,5.504,18/09/2025,88.36,66.85,80.95,676,1379,bulletin-18-09-2025-56.pdf,88.3608926,,
1,THEIN DAM,527.91,524.59,2.344,2.118,18/09/2025,90.36,25.73,63.73,348,600,bulletin-18-09-2025-56.pdf,90.35836177,,
2,PONG DAM,423.67,425.16,6.157,6.146,18/09/2025,99.82,66.23,81.78,0,396,bulletin-18-09-2025-56.pdf,99.82134156,,
1,GOBIND SAGAR,512,511.15,6.229,5.512,11/09/2025,88.49,65.6,81.4,676,1379,bulletin-11-09-2025-55.pdf,88.48932413,,
1,THEIN DAM,527.91,524.42,2.344,2.078,11/09/2025,88.65,28.58,65.29,348,600,bulletin-11-09-2025-55.pdf,88.65187713,,
2,PONG DAM,423.67,423.77,6.157,5.797,11/09/2025,94.15,65.84,82.42,0,396,bulletin-11-09-2025-55.pdf,94.15299659,,
1,GOBIND SAGAR,512,511.75,6.229,5.606,04/09/2025,90,62.74,79.44,676,1379,bulletin-04-09-2025-53.pdf,89.99839461,,
1,THEIN DAM,527.91,527.04,2.344,2.277,04/09/2025,97.14,29.65,67.06,348,600,bulletin-04-09-2025-53.pdf,97.14163823,,
2,PONG DAM,423.67,425.05,6.157,6.118,04/09/2025,99.37,63.63,81.68,0,396,bulletin-04-09-2025-53.pdf,99.36657463,,
1,GOBIND SAGAR,512,509.6,6.229,5.269,28/08/2025,84.59,60.2,77.21,676,1379,bulletin-28-08-2025-51.pdf,84.58821641,,
1,THEIN DAM,527.91,525.65,2.344,2.158,28/08/2025,92.06,27.52,66.53,348,600,bulletin-28-08-2025-51.pdf,92.06484642,,
2,PONG DAM,423.67,424.74,6.157,6.039,28/08/2025,98.08,61.13,79.74,0,396,bulletin-28-08-2025-51.pdf,98.08348222,,
1,GOBIND SAGAR,512,507.95,6.229,5.012,21/08/2025,80.46,56.99,73.93,676,1379,bulletin-21-08-2025-50.pdf,80.46235351,,
1,THEIN DAM,527.91,523.57,2.344,1.999,21/08/2025,85.28,29.65,66.72,348,600,bulletin-21-08-2025-50.pdf,85.28156997,,
2,PONG DAM,423.67,421.96,6.157,5.364,21/08/2025,87.12,60.06,73.95,0,396,bulletin-21-08-2025-50.pdf,87.12035082,,
1,GOBIND SAGAR,512,503.56,6.229,4.358,14/08/2025,69.96,52.05,69.2,676,1379,bulletin-14-08-2025-48.pdf,69.96307594,,
1,THEIN DAM,527.91,518.92,2.344,1.629,14/08/2025,69.5,22.44,63.78,348,600,bulletin-14-08-2025-48.pdf,69.49658703,,
2,PONG DAM,423.67,419.52,6.157,4.806,14/08/2025,78.06,53.35,68.1,0,396,bulletin-14-08-2025-48.pdf,78.05749553,,
1,GOBIND SAGAR,512,499.51,6.229,3.785,07/08/2025,60.76,45.45,59.03,676,1379,bulletin-07-08-2025-48.pdf,60.7641676,,
1,THEIN DAM,527.91,516.88,2.344,1.507,07/08/2025,64.29,17.58,58.6,348,600,bulletin-07-08-2025-48.pdf,64.29180887,,
2,PONG DAM,423.67,419.05,6.157,4.702,07/08/2025,76.37,39.08,53.33,0,396,bulletin-07-08-2025-48.pdf,76.36836121,,
1,GOBIND SAGAR,512,494.24,6.229,3.408,31/07/2025,54.71,42.22,52.55,676,1379,bulletin-31-07-2025-46.pdf,54.71183175,,
1,THEIN DAM,527.91,509.62,2.344,1.086,31/07/2025,46.33,11.9,54.56,348,600,bulletin-31-07-2025-46.pdf,46.33105802,,
2,PONG DAM,423.67,413.03,6.157,3.439,31/07/2025,55.86,24.65,42.94,0,396,bulletin-31-07-2025-46.pdf,55.85512425,,
1,GOBIND SAGAR,512,490.65,6.229,2.702,24/07/2025,43.38,38.24,44.07,676,1379,bulletin-24-07-2025-44.pdf,43.37774924,,
1,THEIN DAM,527.91,506.41,2.344,0.915,24/07/2025,39.04,15.15,52.54,348,600,bulletin-24-07-2025-44.pdf,39.03583618,,
2,PONG DAM,423.67,408.55,6.157,2.647,24/07/2025,42.99,24.65,37.56,0,396,bulletin-24-07-2025-44.pdf,42.99171675,,
1,GOBIND SAGAR,512,486.18,6.229,2.229,17/07/2025,35.78,36.94,39.56,676,1379,bulletin-17-07-2025-44.pdf,35.78423503,,
1,THEIN DAM,527.91,505.38,2.344,0.866,17/07/2025,36.95,25.73,50.86,348,600,bulletin-17-07-2025-44.pdf,36.94539249,,
2,PONG DAM,423.67,405.01,6.157,2.059,17/07/2025,33.44,22.67,34.32,0,396,bulletin-17-07-2025-44.pdf,33.44161117,,
1,GOBIND SAGAR,512,484.75,6.229,2.094,10/07/2025,33.62,36.31,35,676,1379,bulletin-10-07-2025-41.pdf,33.61695296,,
1,THEIN DAM,527.91,505.34,2.344,0.866,10/07/2025,36.95,30.67,48.69,348,600,bulletin-10-07-2025-41.pdf,36.94539249,,
2,PONG DAM,423.67,403.99,6.157,1.91,10/07/2025,31.02,23.92,28.15,0,396,bulletin-10-07-2025-41.pdf,31.02160143,,
1,GOBIND SAGAR,512,481.87,6.229,1.822,03/07/2025,29.25,33.07,28.68,676,1379,bulletin-03-07-2025-38.pdf,29.25028094,,
1,THEIN DAM,527.91,504.83,2.344,0.817,03/07/2025,34.85,28.58,45.51,348,600,bulletin-03-07-2025-38.pdf,34.85494881,,
2,PONG DAM,423.67,402.35,6.157,1.669,03/07/2025,27.11,18.52,21.79,0,396,bulletin-03-07-2025-38.pdf,27.10735748,,
1,GOBIND SAGAR,512,477.51,6.229,1.485,26/06/2025,23.84,30.82,28.27,676,1379,bulletin-26-06-2025-37.pdf,23.84010275,,
1,THEIN DAM,527.91,505.44,2.344,0.866,26/06/2025,36.95,31.74,46.62,348,600,bulletin-26-06-2025-37.pdf,36.94539249,,
2,PONG DAM,423.67,394.09,6.157,0.699,26/06/2025,11.35,18.68,22.46,0,396,bulletin-26-06-2025-37.pdf,11.35293162,,
1,GOBIND SAGAR,512,475.73,6.229,1.35,19/06/2025,21.67,31.14,28.55,676,1379,bulletin-19-06-2025-28.pdf,21.67282068,,
1,THEIN DAM,527.91,505.77,2.344,0.866,19/06/2025,36.95,35.92,48.58,348,600,bulletin-19-06-2025-28.pdf,36.94539249,,
2,PONG DAM,423.67,392.6,6.157,0.561,19/06/2025,9.11,20.33,23.15,0,396,bulletin-19-06-2025-28.pdf,9.111580315,,
1,GOBIND SAGAR,512,473.98,6.229,1.239,12/06/2025,19.89,30.77,29.12,676,1379,bulletin-12-06-2025-23.pdf,19.8908332,,
1,THEIN DAM,527.91,506.84,2.344,0.956,12/06/2025,40.78,40.74,49.83,348,600,bulletin-12-06-2025-23.pdf,40.78498294,,
2,PONG DAM,423.67,393.44,6.157,0.636,12/06/2025,10.33,22.53,24.71,0,396,bulletin-12-06-2025-23.pdf,10.32970603,,
1,GOBIND SAGAR,512,475.86,6.229,1.359,05/06/2025,21.82,29.84,28.42,676,1379,bulletin-05-06-2025-18.pdf,21.81730615,,
1,THEIN DAM,527.91,507.96,2.344,0.988,05/06/2025,42.15,41.13,49.82,348,600,bulletin-05-06-2025-18.pdf,42.15017065,,
2,PONG DAM,423.67,394.81,6.157,0.769,05/06/2025,12.49,24.74,26.24,0,396,bulletin-05-06-2025-18.pdf,12.48984895,,
1,GOBIND SAGAR,512,476.22,6.229,1.387,29/05/2025,22.27,27.4,27.48,676,1379,bulletin-29-05-2025-15.pdf,22.2668165,,
1,THEIN DAM,527.91,508.08,2.344,0.988,29/05/2025,42.15,39.04,48.64,348,600,bulletin-29-05-2025-15.pdf,42.15017065,,
2,PONG DAM,423.67,394.76,6.157,0.764,29/05/2025,12.41,25.87,25.75,0,396,bulletin-29-05-2025-15.pdf,12.40864057,,
